Date,Actual,Fed,Model,Fed_Error_%,Model_Error_%
2024-01-31,3.1,3.0992699999999993,3.0719775739398187,-0.02,-0.9
2024-02-29,3.11,3.1032990509999996,3.0808709489754285,-0.22,-0.94
2024-03-31,3.12,3.1166432369192996,3.091260801669563,-0.11,-0.92
2024-04-30,3.13,3.1272398239248256,3.1019836955332396,-0.09,-0.9
2024-05-31,3.13,3.140061507202917,3.113475790060417,0.32,-0.53
2024-06-30,3.13,3.142573556408679,3.1112801597514306,0.4,-0.6
2024-07-31,3.14,3.144459100542524,3.112358361752979,0.14,-0.88
2024-08-31,3.14,3.151691356473772,3.1248966174486656,0.37,-0.48
2024-09-30,3.15,3.1579947391867194,3.1225803943073656,0.25,-0.87
2024-10-31,3.16,3.161152733925906,3.1354334092776313,0.04,-0.78
2024-11-30,3.16,3.1668428088469724,3.1452101057069455,0.22,-0.47
2024-12-31,3.18,3.1750766001499744,3.1430931249655996,-0.15,-1.16
2025-01-31,3.19,3.186824383570529,3.166504745318332,-0.1,-0.74
2025-02-28,3.2,3.1944727620910984,3.1738554873153126,-0.17,-0.82
2025-03-31,3.2,3.2018200494439077,3.186350687881306,0.06,-0.43
2025-04-30,3.2,3.2024604134537964,3.1849730712488618,0.08,-0.47
2025-05-31,3.21,3.2091855803220493,3.188536694191444,-0.03,-0.67
2025-06-30,3.22,3.213036603018436,3.200667583557814,-0.22,-0.6
2025-07-31,3.22,3.221069194525982,3.2103530467735713,0.03,-0.3
2025-08-31,3.23,3.2262229052372238,3.2088135043260806,-0.12,-0.66
2025-09-30,3.24,3.235901573952935,3.2214405324195097,-0.13,-0.57
